"product_id","requirement_id"
eef8727e-8594-42b7-a85a-6388245f417e,1302
eef8727e-8594-42b7-a85a-6388245f417e,1303
"06ae8788-0370-495e-9386-3309e1a591fd",1304
"06ae8788-0370-495e-9386-3309e1a591fd",1305
f8109538-d277-46d4-a540-24cc2a8f79a9,1306
f8109538-d277-46d4-a540-24cc2a8f79a9,1307
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1354
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1355
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1402
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1403
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1404
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1405
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1406
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1407
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1408
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1409
eef8727e-8594-42b7-a85a-6388245f417e,1302
eef8727e-8594-42b7-a85a-6388245f417e,1303
"06ae8788-0370-495e-9386-3309e1a591fd",1304
"06ae8788-0370-495e-9386-3309e1a591fd",1305
f8109538-d277-46d4-a540-24cc2a8f79a9,1306
f8109538-d277-46d4-a540-24cc2a8f79a9,1307
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1354
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1355
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1402
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1403
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1404
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1405
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1406
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1407
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1408
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1409
eef8727e-8594-42b7-a85a-6388245f417e,1302
eef8727e-8594-42b7-a85a-6388245f417e,1303
"06ae8788-0370-495e-9386-3309e1a591fd",1304
"06ae8788-0370-495e-9386-3309e1a591fd",1305
f8109538-d277-46d4-a540-24cc2a8f79a9,1306
f8109538-d277-46d4-a540-24cc2a8f79a9,1307
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1354
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1355
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1402
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1403
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1404
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1405
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1406
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1407
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1408
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1409
eef8727e-8594-42b7-a85a-6388245f417e,1302
eef8727e-8594-42b7-a85a-6388245f417e,1303
"06ae8788-0370-495e-9386-3309e1a591fd",1304
"06ae8788-0370-495e-9386-3309e1a591fd",1305
f8109538-d277-46d4-a540-24cc2a8f79a9,1306
f8109538-d277-46d4-a540-24cc2a8f79a9,1307
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1354
f87b5da4-a2f6-43a6-8bf3-1f7ee18bc554,1355
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1402
"873d92bf-1821-4f0b-bdf8-7a3a4550da83",1403
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1404
cbca5c5b-f2a9-4442-adb7-a03d0673f50c,1405
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1406
"220fc4a3-cb16-4d78-9b94-2078ef41eb0a",1407
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1408
"836a5c55-1606-41da-ac28-8b0e9a0fd004",1409
